00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
73	74	75	78	7C	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
74	75	76	79	7E	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
75	76	77	7A	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
76	77	78	7B	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
77	78	79	7C	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
78	79	7A	7D	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
79	7A	7B	7E	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
7A	7B	7C	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
7B	7C	7D	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
7C	7D	7E	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
7D	7E	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
7E	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
